ID,Name,Gender,Height,Weight,URL
54736,Kristýna Plíšková,Female,184,73,https://healthyceleb.com/kristyna-pliskova-height-weight-body-statistics/54736
54761,Aegon International ,Female,186,72,https://healthyceleb.com/karolina-pliskova-height-weight-body-statistics/54761
57357,Needham High School,Female,157,52,https://healthyceleb.com/aly-raisman-height-weight-body-statistics/57357
58336,Diamond Bar High School,Female,170,56,https://healthyceleb.com/alex-morgan-height-weight-body-statistics/58336
58374,Wylie E. Groves High School,Female,157,49,https://healthyceleb.com/meryl-davis-height-weight-body-statistics/58374
58402,University of Missouri High School,Female,178,64,https://healthyceleb.com/lindsey-vonn-height-weight-body-statistics/58402
60158,Mt. Spokane High School,Female,175,61,https://healthyceleb.com/julianna-pena-height-weight-body-statistics/60158
60166,Edson Carvalho’s,Female,175,63,https://healthyceleb.com/amanda-nunes-height-weight-body-statistics/60166
18726,Vimy Ridge Sports Academy,Female,165,52,https://healthyceleb.com/kaetlyn-osmond-height-weight-body-statistics/18726
19285,Whitman Middle School. ,Female,159,50,https://healthyceleb.com/ashley-wagner-height-weight-body-statistics/19285
21481,University of Turin,Female,168,52,https://healthyceleb.com/carolina-kostner-height-weight-body-statistics/21481
21489,Foothills Middle School ,Female,160,52,https://healthyceleb.com/mirai-nagasu-height-weight-body-statistics/21489
30730,Ana Ivanovic,Female,184,152,https://healthyceleb.com/ana-ivanovic-height-weight-body-statistics/30730
39885,Sleepy Hollow High School,Female,188,194,https://healthyceleb.com/caitlyn-jenner-height-weight-body-statistics/39885
37772,homeschooled,Female,170,61,https://healthyceleb.com/ronda-rousey-height-weight-body-statistics/37772
41666,Art Institute of Fort Lauderdale,Female,185,74,https://healthyceleb.com/venus-williams-height-weight-body-statistics/41666
41643,Hair Show,Female,175,84,https://healthyceleb.com/serena-williams-height-weight-body-statistics/41643
41688,The Study School,Female,178,63,https://healthyceleb.com/eugenie-bouchard-height-weight-body-statistics/41688
41700,Trinity Christian High School,Female,173,72,https://healthyceleb.com/gina-carano-height-weight-body-statistics/41700
42960,Pinehurst School,Female,165,51,https://healthyceleb.com/lydia-ko-height-weight-body-statistics/42960
43621,Manzano High School ,Female,175,61,https://healthyceleb.com/holly-holm-height-weight-body-statistics/43621
46243,Martina II ,Female,170,59,https://healthyceleb.com/martina-hingis-height-weight-body-statistics/46243
46256,Simona Halep,Female,168,60,https://healthyceleb.com/simona-halep-height-weight-body-statistics/46256
47987,Franklin Pierce High School,Female,169,61,https://healthyceleb.com/miesha-tate-height-weight-body-statistics/47987
